Country,Latitude,Longitude,Date,confirmed,recovered,Deaths,active_cases,new_cases,new_deaths
Germany,51.165690999999995,10.451526,2020-01-22,0,0,0,0,,
Germany,51.165690999999995,10.451526,2020-01-23,0,0,0,0,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-24,0,0,0,0,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-25,0,0,0,0,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-26,0,0,0,0,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-27,1,0,0,1,1.0,0.0
Germany,51.165690999999995,10.451526,2020-01-28,4,0,0,4,3.0,0.0
Germany,51.165690999999995,10.451526,2020-01-29,4,0,0,4,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-30,4,0,0,4,0.0,0.0
Germany,51.165690999999995,10.451526,2020-01-31,5,0,0,5,1.0,0.0
Germany,51.165690999999995,10.451526,2020-02-01,8,0,0,8,3.0,0.0
Germany,51.165690999999995,10.451526,2020-02-02,10,0,0,10,2.0,0.0
Germany,51.165690999999995,10.451526,2020-02-03,12,0,0,12,2.0,0.0
Germany,51.165690999999995,10.451526,2020-02-04,12,0,0,12,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-05,12,0,0,12,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-06,12,0,0,12,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-07,13,0,0,13,1.0,0.0
Germany,51.165690999999995,10.451526,2020-02-08,13,0,0,13,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-09,14,0,0,14,1.0,0.0
Germany,51.165690999999995,10.451526,2020-02-10,14,0,0,14,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-11,16,0,0,16,2.0,0.0
Germany,51.165690999999995,10.451526,2020-02-12,16,0,0,16,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-13,16,1,0,15,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-14,16,1,0,15,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-15,16,1,0,15,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-16,16,1,0,15,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-17,16,1,0,15,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-18,16,12,0,4,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-19,16,12,0,4,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-20,16,12,0,4,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-21,16,14,0,2,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-22,16,14,0,2,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-23,16,14,0,2,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-24,16,14,0,2,0.0,0.0
Germany,51.165690999999995,10.451526,2020-02-25,17,14,0,3,1.0,0.0
Germany,51.165690999999995,10.451526,2020-02-26,27,15,0,12,10.0,0.0
Germany,51.165690999999995,10.451526,2020-02-27,46,16,0,30,19.0,0.0
Germany,51.165690999999995,10.451526,2020-02-28,48,16,0,32,2.0,0.0
Germany,51.165690999999995,10.451526,2020-02-29,79,16,0,63,31.0,0.0
Germany,51.165690999999995,10.451526,2020-03-01,130,16,0,114,51.0,0.0
Germany,51.165690999999995,10.451526,2020-03-02,159,16,0,143,29.0,0.0
Germany,51.165690999999995,10.451526,2020-03-03,196,16,0,180,37.0,0.0
Germany,51.165690999999995,10.451526,2020-03-04,262,16,0,246,66.0,0.0
Germany,51.165690999999995,10.451526,2020-03-05,482,16,0,466,220.0,0.0
Germany,51.165690999999995,10.451526,2020-03-06,670,17,0,653,188.0,0.0
Germany,51.165690999999995,10.451526,2020-03-07,799,18,0,781,129.0,0.0
Germany,51.165690999999995,10.451526,2020-03-08,1040,18,0,1022,241.0,0.0
